Country,City,State,Postal Code,Sub-Category,Sales,Quantity,Discount,Profit,Order Year,Order Month,Order Day,Order Weekday,Ship Year,Ship Month,Ship Day,Ship Weekday,Processing Time,Ship Mode_First Class,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Consumer,Segment_Corporate,Segment_Home Office,Region_Central,Region_East,Region_South,Region_West,Category_Furniture
0,146,40,77041,2,9.708,3,0.6,-5.8248,2017,12,9,5,2017,12,11,0,2,1,0,0,0,0,1,0,1,0,0,0,1
0,146,40,77070,2,19.3,5,0.6,-14.475,2014,11,26,2,2014,12,1,0,5,0,0,1,0,1,0,0,1,0,0,0,1
0,65,37,29203,1,301.96,2,0.0,33.2156,2017,5,28,6,2017,5,30,1,2,0,0,1,0,1,0,0,0,0,1,0,1
0,211,21,55407,2,53.34,3,0.0,16.5354,2015,1,31,5,2015,2,5,3,5,0,0,1,0,1,0,0,1,0,0,0,1
0,232,30,10009,2,96.53,7,0.0,40.5426,2017,11,9,3,2017,11,11,5,2,0,0,1,0,0,0,1,0,1,0,0,1
0,14,4,80013,2,102.36,3,0.2,-3.8385,2015,11,13,4,2015,11,17,1,4,0,0,0,1,1,0,0,0,0,0,1,1
0,232,30,10035,2,41.96,2,0.0,10.9096,2017,12,25,0,2017,12,30,5,5,0,0,0,1,0,1,0,0,1,0,0,1
0,365,6,19805,2,47.04,3,0.0,18.3456,2016,6,12,6,2016,6,15,2,3,1,0,0,0,1,0,0,0,1,0,0,1
0,146,40,77041,1,600.558,3,0.3,-8.5794,2014,12,26,4,2014,12,28,6,2,0,0,1,0,0,0,1,1,0,0,0,1
0,184,3,90004,1,81.424,2,0.2,-9.1602,2016,11,6,6,2016,11,10,3,4,0,0,1,0,0,0,1,0,0,0,1,1
0,184,3,90004,2,238.56,3,0.0,26.2416,2016,11,6,6,2016,11,10,3,4,0,0,1,0,0,0,1,0,0,0,1,1
0,292,3,95661,2,43.12,14,0.0,20.6976,2016,10,13,3,2016,10,19,2,6,0,0,0,1,1,0,0,0,0,0,1,1
0,264,35,19140,2,82.8,2,0.2,10.35,2016,9,5,0,2016,9,7,2,2,0,0,1,0,0,1,0,0,1,0,0,1
0,233,32,43055,2,93.888,4,0.2,12.9096,2014,10,22,2,2014,10,28,1,6,0,0,0,1,0,0,1,0,1,0,0,1
0,316,44,98115,1,457.568,2,0.2,51.4764,2014,3,1,5,2014,3,6,3,5,0,0,1,0,1,0,0,0,0,0,1,1
0,184,3,90004,1,340.144,7,0.2,21.259,2014,8,5,1,2014,8,9,5,4,0,0,0,1,1,0,0,0,0,0,1,1
0,233,32,43055,1,396.802,7,0.3,-11.3372,2015,11,21,5,2015,11,23,0,2,0,0,1,0,1,0,0,0,1,0,0,1
0,232,30,10035,0,626.352,3,0.2,46.9764,2015,10,12,0,2015,10,14,2,2,1,0,0,0,0,0,1,0,1,0,0,1
0,110,39,37064,2,35.168,7,0.2,9.6712,2017,6,3,5,2017,6,7,2,4,0,0,0,1,0,1,0,0,0,1,0,1
0,90,32,43017,2,72.704,4,0.2,19.0848,2015,12,24,3,2015,12,27,6,3,1,0,0,0,1,0,0,0,1,0,0,1
0,65,39,38401,1,161.568,2,0.2,-28.2744,2015,2,28,5,2015,3,4,2,4,0,0,0,1,1,0,0,0,0,1,0,1
0,65,39,38401,1,389.696,8,0.2,43.8408,2015,2,28,5,2015,3,4,2,4,0,0,0,1,1,0,0,0,0,1,0,1
0,329,8,33614,2,258.072,3,0.2,0.0,2017,4,7,4,2017,4,12,2,5,0,0,0,1,0,0,1,0,0,1,0,1
0,54,11,60610,2,11.688,3,0.6,-4.6752,2016,6,4,5,2016,6,9,3,5,0,0,1,0,1,0,0,1,0,0,0,1
0,54,11,60610,2,4.044,3,0.6,-2.8308,2016,6,4,5,2016,6,9,3,5,0,0,1,0,1,0,0,1,0,0,0,1
0,307,3,94109,1,321.568,2,0.2,28.1372,2016,12,10,5,2016,12,15,3,5,0,0,1,0,1,0,0,0,0,0,1,1
0,54,11,60623,2,12.132,9,0.6,-8.4924,2015,11,28,5,2015,12,4,4,6,0,0,0,1,0,1,0,1,0,0,0,1
0,307,3,94109,2,5.28,3,0.0,2.3232,2015,7,30,3,2015,7,31,4,1,1,0,0,0,1,0,0,0,0,0,1,1
0,66,32,43229,0,86.97,3,0.5,-48.7032,2016,11,20,6,2016,11,24,3,4,0,0,1,0,0,0,1,0,1,0,0,1
0,64,4,80906,2,300.416,8,0.2,78.8592,2014,12,26,4,2014,12,28,6,2,1,0,0,0,0,1,0,0,0,0,1,1
0,64,4,80906,1,230.352,3,0.2,20.1558,2014,12,26,4,2014,12,28,6,2,1,0,0,0,0,1,0,0,0,0,1,1
0,64,4,80906,2,218.352,3,0.2,-24.5646,2014,12,26,4,2014,12,28,6,2,1,0,0,0,0,1,0,0,0,0,1,1
0,20,28,7109,2,77.6,4,0.0,38.024,2016,10,28,4,2016,11,3,3,6,0,0,0,1,0,1,0,0,1,0,0,1
0,232,30,10024,2,26.8,2,0.0,12.864,2015,5,4,0,2015,5,9,5,5,0,0,1,0,0,1,0,0,1,0,0,1
0,10,4,80004,2,15.136,4,0.2,3.5948,2016,9,12,0,2016,9,14,2,2,0,0,1,0,0,1,0,0,0,0,1,1
0,10,4,80004,1,466.768,2,0.2,52.5114,2016,9,12,0,2016,9,14,2,2,0,0,1,0,0,1,0,0,0,0,1,1
0,10,4,80004,2,15.232,1,0.2,1.7136,2016,9,12,0,2016,9,14,2,2,0,0,1,0,0,1,0,0,0,0,1,1
0,129,28,7601,2,87.54,3,0.0,37.6422,2014,9,27,5,2014,10,3,4,6,0,0,0,1,0,1,0,0,1,0,0,1
0,232,30,10024,1,135.882,1,0.1,24.1568,2014,11,4,1,2014,11,9,6,5,0,0,0,1,0,0,1,0,1,0,0,1
0,224,39,37130,2,15.992,1,0.2,0.9995,2017,11,3,4,2017,11,5,6,2,0,0,1,0,0,1,0,0,0,1,0,1
0,307,3,94122,3,698.352,3,0.2,-17.4588,2014,7,12,5,2014,7,17,3,5,0,0,0,1,0,1,0,0,0,0,1,1
0,232,30,10035,0,388.704,6,0.2,-4.8588,2016,4,8,4,2016,4,13,2,5,0,0,0,1,1,0,0,0,1,0,0,1
0,232,30,10009,1,488.646,3,0.1,86.8704,2017,9,25,0,2017,10,1,6,6,0,0,0,1,1,0,0,0,1,0,0,1
0,232,30,10009,2,47.12,8,0.0,20.7328,2017,9,25,0,2017,10,1,6,6,0,0,0,1,1,0,0,0,1,0,0,1
0,264,35,19140,2,2.96,1,0.2,0.777,2015,12,3,3,2015,12,7,0,4,0,0,0,1,0,1,0,0,1,0,0,1
0,307,3,94110,1,113.568,2,0.2,-18.4548,2017,12,8,4,2017,12,12,1,4,0,0,0,1,1,0,0,0,0,0,1,1
0,316,44,98105,1,307.136,4,0.2,26.8744,2017,11,3,4,2017,11,7,1,4,0,0,0,1,0,1,0,0,0,0,1,1
0,184,3,90004,1,383.8,5,0.2,38.38,2016,4,14,3,2016,4,18,0,4,0,0,0,1,1,0,0,0,0,0,1,1
0,174,19,1841,2,56.56,4,0.0,14.7056,2017,10,19,3,2017,10,23,0,4,0,0,0,1,0,1,0,0,1,0,0,1
0,43,20,48187,2,28.4,2,0.0,11.076,2017,11,23,3,2017,11,26,6,3,0,0,1,0,0,1,0,1,0,0,0,1
0,232,30,10024,1,207.846,3,0.1,2.3094,2017,1,20,4,2017,1,23,0,3,0,0,1,0,0,1,0,0,1,0,0,1
0,87,20,48227,2,12.22,1,0.0,3.666,2016,9,5,0,2016,9,7,2,2,0,0,1,0,1,0,0,1,0,0,0,1
0,87,20,48227,1,242.94,3,0.0,29.1528,2016,9,5,0,2016,9,7,2,2,0,0,1,0,1,0,0,1,0,0,0,1
0,66,12,47201,2,2.91,1,0.0,1.3677,2017,3,20,0,2017,3,25,5,5,0,0,1,0,1,0,0,1,0,0,0,1
0,0,32,44312,3,284.364,2,0.4,-75.8304,2017,10,20,4,2017,10,24,1,4,0,0,0,1,0,1,0,0,1,0,0,1
0,67,3,94521,1,129.568,2,0.2,-24.294,2014,2,12,2,2014,2,18,1,6,0,0,0,1,1,0,0,0,0,0,1,1
0,265,1,85023,2,23.56,5,0.2,7.068,2016,4,22,4,2016,4,29,4,7,0,0,0,1,0,0,1,0,0,0,1,1
0,4,40,79109,0,205.3328,2,0.32,-36.2352,2017,3,31,4,2017,4,4,1,4,0,0,0,1,0,1,0,1,0,0,0,1
0,307,3,94110,0,222.666,2,0.15,10.4784,2014,11,9,6,2014,11,11,1,2,0,0,1,0,1,0,0,0,0,0,1,1
0,341,30,12180,2,40.2,3,0.0,19.296,2016,10,27,3,2016,11,2,2,6,0,0,0,1,1,0,0,0,1,0,0,1
0,184,3,90045,0,514.165,5,0.15,-30.245,2017,6,10,5,2017,6,13,1,3,1,0,0,0,0,0,1,0,0,0,1,1
0,72,3,92627,2,255.76,4,0.0,81.8432,2016,7,25,0,2016,7,31,6,6,0,0,0,1,1,0,0,0,0,0,1,1
0,72,3,92627,1,241.568,2,0.2,18.1176,2016,7,25,0,2016,7,31,6,6,0,0,0,1,1,0,0,0,0,0,1,1
0,72,3,92627,2,69.3,9,0.0,22.869,2016,7,25,0,2016,7,31,6,6,0,0,0,1,1,0,0,0,0,0,1,1
0,254,4,80134,1,801.568,2,0.2,50.098,2016,5,30,0,2016,6,4,5,5,0,0,0,1,0,1,0,0,0,0,1,1
0,119,23,64118,2,126.3,3,0.0,40.416,2017,11,26,6,2017,11,27,0,1,1,0,0,0,1,0,0,1,0,0,0,1
0,87,20,48234,3,210.98,2,0.0,21.098,2017,1,23,0,2017,1,25,2,2,1,0,0,0,0,1,0,1,0,0,0,1
0,165,8,33801,1,683.952,3,0.2,42.747,2017,10,21,5,2017,10,26,3,5,0,0,0,1,0,0,1,0,0,1,0,1
0,165,8,33801,2,45.696,3,0.2,5.1408,2017,10,21,5,2017,10,26,3,5,0,0,0,1,0,0,1,0,0,1,0,1
0,184,3,90036,1,190.72,1,0.2,11.92,2015,11,7,5,2015,11,9,0,2,0,0,1,0,0,1,0,0,0,0,1,1
0,184,3,90032,2,47.94,3,0.0,2.397,2017,9,7,3,2017,9,11,0,4,0,0,0,1,1,0,0,0,0,0,1,1
0,137,15,42420,1,283.92,4,0.0,70.98,2015,12,7,0,2015,12,11,4,4,0,0,0,1,1,0,0,0,0,1,0,1
0,151,8,32216,2,34.504,1,0.2,6.0382,2017,9,11,0,2017,9,12,1,1,1,0,0,0,1,0,0,0,0,1,0,1
0,307,3,94110,2,42.6,3,0.0,16.614,2017,11,20,0,2017,11,22,2,2,0,0,1,0,1,0,0,0,0,0,1,1
0,329,8,33614,2,13.128,3,0.2,3.7743,2014,9,14,6,2014,9,18,3,4,0,0,1,0,1,0,0,0,0,1,0,1
0,316,44,98105,1,451.152,3,0.2,0.0,2017,10,1,6,2017,10,8,6,7,0,0,0,1,0,1,0,0,0,0,1,1
0,54,11,60610,2,8.792,1,0.6,-5.7148,2017,7,20,3,2017,7,26,2,6,0,0,0,1,1,0,0,1,0,0,0,1
0,286,15,40475,1,70.98,1,0.0,4.9686,2015,7,3,4,2015,7,9,3,6,0,0,0,1,1,0,0,0,0,1,0,1
0,306,3,92024,2,327.76,8,0.0,91.7728,2014,8,8,4,2014,8,15,4,7,0,0,0,1,1,0,0,0,0,0,1,1
0,329,8,33614,2,45.696,3,0.2,5.1408,2014,3,15,5,2014,3,19,2,4,0,0,0,1,1,0,0,0,0,1,0,1
0,232,30,10011,2,40.48,2,0.0,15.7872,2017,8,18,4,2017,8,23,2,5,0,0,1,0,0,1,0,0,1,0,0,1
0,232,30,10011,2,9.94,2,0.0,3.0814,2017,8,18,4,2017,8,23,2,5,0,0,1,0,0,1,0,0,1,0,0,1
0,232,30,10011,2,88.02,3,0.0,27.2862,2017,8,18,4,2017,8,23,2,5,0,0,1,0,0,1,0,0,1,0,0,1
0,80,20,48126,1,301.96,2,0.0,87.5684,2015,11,29,6,2015,12,3,3,4,0,0,0,1,0,1,0,1,0,0,0,1
0,232,30,10009,2,35.56,7,0.0,12.0904,2017,9,15,4,2017,9,19,1,4,0,0,0,1,0,0,1,0,1,0,0,1
0,353,9,31088,1,392.94,3,0.0,43.2234,2015,10,4,6,2015,10,9,4,5,0,0,1,0,0,1,0,0,0,1,0,1
0,211,21,55407,2,18.84,3,0.0,6.0288,2016,12,18,6,2016,12,22,3,4,0,0,0,1,0,1,0,1,0,0,0,1
0,349,44,98661,2,14.8,4,0.0,6.068,2016,12,11,6,2016,12,16,4,5,0,0,1,0,0,1,0,0,0,0,1,1
0,14,11,60505,1,701.372,2,0.3,-50.098,2016,9,19,0,2016,9,19,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,60,32,44105,2,30.36,5,0.2,8.7285,2014,12,24,2,2014,12,26,4,2,1,0,0,0,1,0,0,0,1,0,0,1
0,54,11,60653,2,23.976,3,0.6,-14.3856,2017,6,9,4,2017,6,13,1,4,0,0,0,1,0,0,1,1,0,0,0,1
0,54,11,60653,3,108.925,1,0.5,-71.8905,2017,6,9,4,2017,6,13,1,4,0,0,0,1,0,0,1,1,0,0,0,1
0,346,40,75701,2,82.524,3,0.6,-41.262,2017,3,18,5,2017,3,23,3,5,0,0,0,1,1,0,0,1,0,0,0,1
0,232,30,10035,0,191.984,2,0.2,4.7996,2017,12,25,0,2017,12,29,4,4,0,0,0,1,1,0,0,0,1,0,0,1
0,357,43,22980,2,104.01,1,0.0,14.5614,2014,6,21,5,2014,6,23,0,2,0,0,1,0,1,0,0,0,0,1,0,1
0,60,32,44105,2,15.072,3,0.2,4.1448,2017,9,2,5,2017,9,8,4,6,0,0,0,1,0,1,0,0,1,0,0,1
0,316,44,98103,2,209.88,3,0.0,35.6796,2016,11,4,4,2016,11,8,1,4,0,0,1,0,0,1,0,0,0,0,1,1
0,180,3,90805,3,369.912,3,0.2,-13.8717,2015,4,9,3,2015,4,14,1,5,0,0,0,1,1,0,0,0,0,0,1,1
0,88,6,19901,2,9.94,2,0.0,3.0814,2014,1,11,5,2014,1,14,1,3,1,0,0,0,1,0,0,0,1,0,0,1
0,233,32,43055,2,103.056,3,0.2,24.4758,2017,9,24,6,2017,9,29,4,5,0,0,0,1,1,0,0,0,1,0,0,1
0,249,41,84057,2,73.32,6,0.0,21.996,2014,6,2,0,2014,6,7,5,5,0,0,0,1,0,0,1,0,0,0,1,1
0,264,35,19140,2,129.92,5,0.2,21.112,2014,10,7,1,2014,10,13,0,6,0,0,0,1,0,0,1,0,1,0,0,1
0,242,30,11572,1,542.646,3,0.1,102.4998,2016,12,3,5,2016,12,6,1,3,1,0,0,0,1,0,0,0,1,0,0,1
0,316,44,98115,0,84.98,1,0.0,18.6956,2017,1,21,5,2017,1,25,2,4,0,0,0,1,0,0,1,0,0,0,1,1
0,306,3,92105,3,567.12,10,0.2,-28.356,2014,5,27,1,2014,5,27,1,0,0,1,0,0,0,1,0,0,0,0,1,1
0,340,20,48183,2,157.74,11,0.0,56.7864,2017,10,2,0,2017,10,6,4,4,0,0,0,1,1,0,0,1,0,0,0,1
0,184,3,90036,2,79.92,4,0.0,28.7712,2015,12,7,0,2015,12,12,5,5,0,0,0,1,1,0,0,0,0,0,1,1
0,300,8,33710,2,310.88,2,0.2,23.316,2014,5,14,2,2014,5,20,1,6,0,0,0,1,0,1,0,0,0,1,0,1
0,85,13,50315,2,34.58,7,0.0,14.5236,2017,1,30,0,2017,2,5,6,6,0,0,0,1,0,1,0,1,0,0,0,1
0,307,3,94110,1,544.008,3,0.2,40.8006,2015,8,21,4,2015,8,23,6,2,1,0,0,0,0,0,1,0,0,0,1,1
0,66,32,43229,0,35.49,1,0.5,-15.6156,2015,10,3,5,2015,10,6,1,3,0,0,1,0,1,0,0,0,1,0,0,1
0,168,3,93534,1,348.928,2,0.2,34.8928,2015,12,12,5,2015,12,16,2,4,0,0,0,1,1,0,0,0,0,0,1,1
0,286,43,23223,1,332.94,3,0.0,79.9056,2015,6,26,4,2015,6,30,1,4,0,0,0,1,1,0,0,0,0,1,0,1
0,163,3,92530,1,283.92,5,0.2,17.745,2015,11,27,4,2015,12,3,3,6,0,0,0,1,1,0,0,0,0,0,1,1
0,306,3,92105,2,22.23,1,0.0,7.3359,2017,2,20,0,2017,2,23,3,3,1,0,0,0,0,1,0,0,0,0,1,1
0,307,3,94122,2,18.28,2,0.0,6.2152,2017,4,22,5,2017,4,24,0,2,1,0,0,0,1,0,0,0,0,0,1,1
0,247,25,68104,2,28.4,2,0.0,11.076,2015,2,3,1,2015,2,5,3,2,1,0,0,0,1,0,0,1,0,0,0,1
0,313,3,92704,2,18.28,2,0.0,6.2152,2017,5,14,6,2017,5,14,6,0,0,1,0,0,1,0,0,0,0,0,1,1
0,106,15,41042,1,301.96,2,0.0,90.588,2017,6,16,4,2017,6,21,2,5,0,0,1,0,1,0,0,0,0,1,0,1
0,232,30,10035,0,186.048,4,0.2,9.3024,2015,11,20,4,2015,11,25,2,5,0,0,0,1,0,1,0,0,1,0,0,1
0,185,15,40214,1,287.94,3,0.0,77.7438,2015,10,13,1,2015,10,17,5,4,0,0,0,1,1,0,0,0,0,1,0,1
0,183,32,44052,2,48.896,4,0.2,8.5568,2017,1,1,6,2017,1,6,4,5,0,0,0,1,1,0,0,0,1,0,0,1
0,232,30,10035,2,44.46,2,0.0,14.6718,2016,2,19,4,2016,2,24,2,5,0,0,0,1,1,0,0,0,1,0,0,1
0,323,43,22153,2,51.94,1,0.0,21.2954,2014,1,10,4,2014,1,15,2,5,0,0,0,1,0,1,0,0,0,1,0,1
0,67,27,3301,2,322.59,3,0.0,64.518,2016,1,17,6,2016,1,21,3,4,0,0,0,1,0,0,1,0,1,0,0,1
0,87,20,48227,2,31.4,5,0.0,10.048,2016,10,22,5,2016,10,24,0,2,1,0,0,0,0,0,1,1,0,0,0,1
0,288,30,14609,2,17.46,2,0.0,5.9364,2014,4,29,1,2014,5,4,6,5,0,0,0,1,1,0,0,0,1,0,0,1
0,232,30,10009,0,323.136,4,0.2,12.1176,2017,12,30,5,2018,1,3,2,4,0,0,0,1,1,0,0,0,1,0,0,1
0,239,5,6360,2,22.2,6,0.0,9.102,2015,5,31,6,2015,6,7,6,7,0,0,0,1,0,0,1,0,1,0,0,1
0,210,46,53209,2,46.94,1,0.0,19.2454,2017,11,27,0,2017,11,29,2,2,1,0,0,0,0,1,0,1,0,0,0,1
0,304,40,78207,3,99.918,2,0.3,-18.5562,2014,6,15,6,2014,6,21,5,6,0,0,0,1,0,1,0,1,0,0,0,1
0,304,40,78207,1,797.944,4,0.3,-56.996,2014,6,15,6,2014,6,21,5,6,0,0,0,1,0,1,0,1,0,0,0,1
0,264,35,19120,2,516.488,7,0.2,-12.9122,2017,11,28,1,2017,12,2,5,4,0,0,0,1,0,0,1,0,1,0,0,1
0,264,35,19120,2,1007.232,6,0.2,75.5424,2017,11,28,1,2017,12,2,5,4,0,0,0,1,0,0,1,0,1,0,0,1
0,264,35,19143,2,25.472,4,0.2,7.6416,2017,4,3,0,2017,4,7,4,4,0,0,0,1,1,0,0,0,1,0,0,1
0,294,40,78664,0,78.8528,2,0.32,-11.596,2017,12,28,3,2018,1,1,0,4,0,0,0,1,1,0,0,1,0,0,0,1
0,242,3,92054,2,204.6,2,0.0,53.196,2015,9,22,1,2015,9,22,1,0,0,1,0,0,1,0,0,0,0,0,1,1
0,307,3,94110,1,321.568,2,0.2,28.1372,2017,11,14,1,2017,11,19,6,5,0,0,0,1,0,1,0,0,0,0,1,1
0,264,35,19134,2,127.104,6,0.2,28.5984,2014,1,16,3,2014,1,18,5,2,0,0,1,0,1,0,0,0,1,0,0,1
0,232,30,10035,1,599.292,6,0.1,93.2232,2016,10,3,0,2016,10,8,5,5,0,0,0,1,1,0,0,0,1,0,0,1
0,185,4,80027,1,603.92,5,0.2,75.49,2014,11,11,1,2014,11,14,4,3,0,0,1,0,1,0,0,0,0,0,1,1
0,13,30,13021,2,520.05,5,0.0,72.807,2017,5,21,6,2017,5,26,4,5,0,0,0,1,0,1,0,0,1,0,0,1
0,137,15,42420,2,24.1,5,0.0,9.158,2015,10,28,2,2015,11,3,1,6,0,0,0,1,1,0,0,0,0,1,0,1
0,137,15,42420,2,33.11,7,0.0,12.9129,2015,10,28,2,2015,11,3,1,6,0,0,0,1,1,0,0,0,0,1,0,1
0,306,3,92037,2,151.72,4,0.0,27.3096,2014,11,24,0,2014,11,26,2,2,1,0,0,0,1,0,0,0,0,0,1,1
0,246,44,98502,2,155.25,3,0.0,46.575,2017,6,17,5,2017,6,21,2,4,0,0,1,0,1,0,0,0,0,0,1,1
0,232,30,10011,2,13.96,2,0.0,6.7008,2015,7,6,0,2015,7,10,4,4,0,0,0,1,0,1,0,0,1,0,0,1
0,232,30,10011,2,155.82,3,0.0,63.8862,2015,7,6,0,2015,7,10,4,4,0,0,0,1,0,1,0,0,1,0,0,1
0,129,28,7601,2,124.11,9,0.0,52.1262,2014,7,11,4,2014,7,15,1,4,0,0,0,1,0,1,0,0,1,0,0,1
0,152,23,65109,2,86.62,2,0.0,8.662,2016,4,22,4,2016,4,26,1,4,0,0,0,1,0,0,1,1,0,0,0,1
0,232,30,10035,0,722.352,3,0.2,90.294,2016,9,6,1,2016,9,9,4,3,0,0,1,0,1,0,0,0,1,0,0,1
0,289,11,61107,1,254.604,14,0.3,-18.186,2017,10,12,3,2017,10,16,0,4,0,0,0,1,0,0,1,1,0,0,0,1
0,206,8,33142,2,102.36,3,0.2,-3.8385,2016,3,8,1,2016,3,13,6,5,0,0,0,1,1,0,0,0,0,1,0,1
0,264,35,19134,2,168.464,2,0.2,-29.4812,2015,7,3,4,2015,7,5,6,2,1,0,0,0,0,1,0,0,1,0,0,1
0,264,35,19134,2,282.888,9,0.2,56.5776,2015,7,3,4,2015,7,5,6,2,1,0,0,0,0,1,0,0,1,0,0,1
0,232,30,10009,2,108.4,2,0.0,22.764,2015,4,4,5,2015,4,8,2,4,0,0,0,1,0,0,1,0,1,0,0,1
0,146,40,77095,1,107.772,2,0.3,-29.2524,2015,3,23,0,2015,3,29,6,6,0,0,0,1,1,0,0,1,0,0,0,1
0,307,3,94122,1,194.848,4,0.2,12.178,2016,10,1,5,2016,10,2,6,1,1,0,0,0,1,0,0,0,0,0,1,1
0,217,31,28110,2,31.984,2,0.2,1.999,2017,6,4,6,2017,6,10,5,6,0,0,0,1,0,1,0,0,0,1,0,1
0,184,3,90049,3,447.84,5,0.2,11.196,2014,6,25,2,2014,6,28,5,3,1,0,0,0,0,1,0,0,0,0,1,1
0,307,3,94122,2,8.73,3,0.0,4.1031,2016,6,14,1,2016,6,17,4,3,1,0,0,0,0,0,1,0,0,0,1,1
0,146,40,77041,2,2.328,2,0.6,-0.7566,2016,11,19,5,2016,11,24,3,5,0,0,0,1,1,0,0,1,0,0,0,1
0,99,3,92024,0,119.833,1,0.15,-12.6882,2017,12,18,0,2017,12,23,5,5,0,0,1,0,1,0,0,0,0,0,1,1
0,153,2,72401,2,38.6,4,0.0,11.58,2014,1,20,0,2014,1,26,6,6,0,0,0,1,1,0,0,0,0,1,0,1
0,323,43,22153,3,343.92,4,0.0,75.6624,2016,4,12,1,2016,4,16,5,4,0,0,0,1,1,0,0,0,0,1,0,1
0,184,3,90045,2,204.6,2,0.0,53.196,2014,9,29,0,2014,10,3,4,4,0,0,0,1,1,0,0,0,0,0,1,1
0,75,32,44221,2,8.352,6,0.2,1.2528,2015,5,8,4,2015,5,14,3,6,0,0,0,1,0,1,0,0,1,0,0,1
0,133,43,22801,3,455.1,2,0.0,100.122,2014,12,20,5,2014,12,21,6,1,1,0,0,0,0,0,1,0,0,1,0,1
0,184,3,90004,1,195.184,1,0.2,19.5184,2016,7,2,5,2016,7,7,3,5,0,0,1,0,0,1,0,0,0,0,1,1
0,232,30,10035,2,109.48,2,0.0,33.9388,2017,12,8,4,2017,12,10,6,2,0,0,1,0,1,0,0,0,1,0,0,1
0,290,18,20852,1,172.5,2,0.0,51.75,2016,12,1,3,2016,12,5,0,4,0,0,0,1,1,0,0,0,1,0,0,1
0,184,3,90036,1,892.224,3,0.2,89.2224,2017,2,26,6,2017,2,28,1,2,0,0,1,0,0,0,1,0,0,0,1,1
0,70,8,33065,2,15.712,4,0.2,2.5532,2015,9,15,1,2015,9,15,1,0,0,1,0,0,0,1,0,0,0,1,0,1
0,70,8,33065,2,55.968,1,0.2,-2.0988,2015,9,15,1,2015,9,15,1,0,0,1,0,0,0,1,0,0,0,1,0,1
0,146,40,77041,1,95.984,4,0.3,-4.1136,2016,4,8,4,2016,4,12,1,4,0,0,0,1,1,0,0,1,0,0,0,1
0,84,4,80219,1,544.008,3,0.2,40.8006,2016,7,18,0,2016,7,24,6,6,0,0,0,1,0,1,0,0,0,0,1,1
0,84,4,80219,1,854.352,3,0.2,10.6794,2016,7,18,0,2016,7,24,6,6,0,0,0,1,0,1,0,0,0,0,1,1
0,232,30,10009,0,579.136,4,0.2,21.7176,2016,7,14,3,2016,7,18,0,4,0,0,1,0,0,1,0,0,1,0,0,1
0,264,35,19134,1,141.372,2,0.3,-48.4704,2017,9,9,5,2017,9,13,2,4,0,0,0,1,0,1,0,0,1,0,0,1
0,264,35,19134,2,17.024,2,0.2,1.7024,2017,9,9,5,2017,9,13,2,4,0,0,0,1,0,1,0,0,1,0,0,1
0,232,30,10024,2,113.79,3,0.0,20.4822,2016,12,4,6,2016,12,5,0,1,1,0,0,0,1,0,0,0,1,0,0,1
0,184,3,90045,2,8.73,1,0.0,2.9682,2017,11,6,0,2017,11,11,5,5,0,0,0,1,1,0,0,0,0,0,1,1
